id,汉字,出现次数,频率（%）,累积频率（%）
1584,轨,952,0.0061,95.316
1585,稻,951,0.0061,95.3221
1586,纲,949,0.0061,95.3343
1587,役,949,0.0061,95.3282
1588,勃,948,0.0061,95.3404
1589,毁,948,0.0061,95.3465
1590,烂,948,0.0061,95.3526
1591,昏,948,0.0061,95.3587
1592,隆,947,0.0061,95.3709
1593,饰,947,0.0061,95.3648
1594,曹,946,0.0061,95.377
1595,仙,941,0.0061,95.3892
1596,夹,941,0.0061,95.3831
1597,爹,939,0.006,95.3952
1598,郑,938,0.006,95.4012
1599,闲,936,0.006,95.4072
1600,柔,936,0.006,95.4132
1601,吓,935,0.006,95.4192
1602,嫂,934,0.006,95.4252
1603,巩,933,0.006,95.4312
1604,亏,931,0.006,95.4372
1605,帽,930,0.006,95.4432
1606,浅,930,0.006,95.4492
1607,详,929,0.006,95.4552
1608,斜,929,0.006,95.4612
1609,佳,928,0.006,95.4672
1610,饮,927,0.006,95.4732
1611,猫,925,0.0059,95.4791
1612,杆,923,0.0059,95.485
1613,恋,921,0.0059,95.4909
1614,凤,921,0.0059,95.4968
1615,缝,920,0.0059,95.5027
1616,疏,919,0.0059,95.5086
1617,扶,918,0.0059,95.5145
1618,厉,915,0.0059,95.5204
1619,喷,915,0.0059,95.5263
1620,截,911,0.0059,95.5322
1621,扰,908,0.0058,95.538
1622,拨,907,0.0058,95.5438
1623,雕,906,0.0058,95.5496
1624,码,904,0.0058,95.5554
1625,瑞,904,0.0058,95.5612
1626,讯,901,0.0058,95.567
1627,莲,899,0.0058,95.5728
1628,邦,899,0.0058,95.5786
1629,贷,897,0.0058,95.5844
1630,丢,896,0.0058,95.5902
1631,慌,895,0.0058,95.596
1632,寿,893,0.0057,95.6017
1633,毅,891,0.0057,95.6074
1634,漂,890,0.0057,95.6131
1635,屈,890,0.0057,95.6245
1636,涂,890,0.0057,95.6188
1637,蜂,889,0.0057,95.6302
1638,猎,888,0.0057,95.6359
1639,氯,887,0.0057,95.6416
1640,劝,886,0.0057,95.6473
1641,柴,883,0.0057,95.653
1642,悉,882,0.0057,95.6587
1643,狠,882,0.0057,95.6644
1644,岗,881,0.0057,95.6758
1645,饲,881,0.0057,95.6701
1646,祝,878,0.0056,95.6814
1647,皆,877,0.0056,95.687
1648,罚,873,0.0056,95.6926
1649,躺,872,0.0056,95.6982
1650,桃,872,0.0056,95.7038
1651,猴,868,0.0056,95.7094
1652,宿,867,0.0056,95.715
1653,锅,866,0.0056,95.7262
1654,胶,866,0.0056,95.7206
1655,偿,865,0.0056,95.7318
1656,宾,863,0.0056,95.7374
1657,译,863,0.0056,95.743
1658,袭,862,0.0055,95.754
1659,串,862,0.0055,95.7485
1660,申,861,0.0055,95.7595
1661,捉,858,0.0055,95.7705
1662,挖,858,0.0055,95.765
1663,窝,856,0.0055,95.776
1664,踏,855,0.0055,95.7815
1665,邓,855,0.0055,95.787
1666,允,852,0.0055,95.7925
1667,舌,852,0.0055,95.798
1668,溜,851,0.0055,95.8035
1669,驻,850,0.0055,95.8145
1670,膀,850,0.0055,95.809
1671,渔,849,0.0055,95.82
1672,纠,848,0.0055,95.8255
1673,冻,847,0.0054,95.8309
1674,扭,845,0.0054,95.8363
1675,臣,845,0.0054,95.8417
1676,埃,841,0.0054,95.8471
1677,辐,840,0.0054,95.8525
1678,闷,835,0.0054,95.8633
1679,涨,835,0.0054,95.8579
1680,签,833,0.0054,95.8687
1681,秒,831,0.0053,95.874
1682,贺,831,0.0053,95.8793
1683,耀,831,0.0053,95.8846
1684,辨,829,0.0053,95.8899
1685,燕,828,0.0053,95.9058
1686,慰,828,0.0053,95.9005
1687,颇,828,0.0053,95.8952
1688,债,826,0.0053,95.9111
1689,肺,826,0.0053,95.9164
1690,逼,826,0.0053,95.9217
1691,魂,825,0.0053,95.927
1692,匆,825,0.0053,95.9323
1693,旺,824,0.0053,95.9376
1694,姻,823,0.0053,95.9429
1695,吞,821,0.0053,95.9482
1696,甜,820,0.0053,95.9535
1697,吨,814,0.0052,95.9587
1698,搭,812,0.0052,95.9639
1699,屏,812,0.0052,95.9691
1700,掩,812,0.0052,95.9743
1701,涌,811,0.0052,95.9795
1702,袁,807,0.0052,95.9847
1703,汤,806,0.0052,95.9899
1704,岭,805,0.0052,95.9951
1705,拟,800,0.0051,96.0002
1706,慧,799,0.0051,96.0053
1707,郎,798,0.0051,96.0104
1708,瘦,796,0.0051,96.0155
1709,阅,794,0.0051,96.0206
1710,辆,793,0.0051,96.0257
1711,填,792,0.0051,96.0359
1712,袖,792,0.0051,96.0308
1713,匀,791,0.0051,96.041
1714,娃,791,0.0051,96.0461
1715,筒,789,0.0051,96.0512
1716,豪,789,0.0051,96.0563
1717,籍,787,0.0051,96.0614
1718,餐,786,0.0051,96.0716
1719,轰,786,0.0051,96.0665
1720,尘,782,0.005,96.0766
1721,敲,781,0.005,96.0816
1722,帐,779,0.005,96.0866
1723,撞,776,0.005,96.0916
1724,钠,775,0.005,96.1016
1725,牢,775,0.005,96.0966
1726,肿,773,0.005,96.1066
1727,盲,773,0.005,96.1116
1728,腊,772,0.005,96.1166
1729,锐,771,0.005,96.1216
1730,返,771,0.005,96.1266
1731,骗,771,0.005,96.1316
1732,骑,770,0.005,96.1466
1733,扣,770,0.005,96.1416
1734,寺,770,0.005,96.1366
1735,沈,767,0.0049,96.1564
1736,醉,767,0.0049,96.1515
1737,纹,765,0.0049,96.1613
1738,纺,764,0.0049,96.1662
1739,泰,763,0.0049,96.1711
1740,盟,756,0.0049,96.1809
1741,辟,756,0.0049,96.176
1742,丛,755,0.0049,96.1858
1743,拒,754,0.0048,96.1954
1744,忧,754,0.0048,96.1906
1745,魏,753,0.0048,96.2002
1746,躲,752,0.0048,96.205
1747,纤,748,0.0048,96.2098
1748,肖,748,0.0048,96.2146
1749,悬,747,0.0048,96.229
1750,旱,747,0.0048,96.2194
1751,晋,747,0.0048,96.2242
1752,祭,746,0.0048,96.2434
1753,誉,746,0.0048,96.2338
1754,谱,746,0.0048,96.2386
1755,箭,745,0.0048,96.2482
1756,狭,745,0.0048,96.253
1757,饿,745,0.0048,96.2578
1758,驱,743,0.0048,96.2626
1759,冯,742,0.0048,96.2674
1760,脂,742,0.0048,96.2722
1761,斥,740,0.0048,96.277
1762,肤,739,0.0048,96.2818
1763,椅,736,0.0047,96.2865
1764,栽,735,0.0047,96.2912
1765,仗,735,0.0047,96.2959
1766,墓,734,0.0047,96.3006
1767,舅,731,0.0047,96.3147
1768,碱,731,0.0047,96.31
1769,兽,731,0.0047,96.3053
1770,锁,730,0.0047,96.3194
1771,喂,729,0.0047,96.3241
1772,抛,729,0.0047,96.3288
1773,苍,728,0.0047,96.3335
1774,臂,728,0.0047,96.3382
1775,溪,727,0.0047,96.3429
1776,胖,726,0.0047,96.3476
1777,伐,724,0.0047,96.357
1778,汪,724,0.0047,96.3523
1779,刷,723,0.0046,96.3616
1780,稿,722,0.0046,96.3662
1781,绳,719,0.0046,96.3708
1782,剪,718,0.0046,96.38
1783,唤,718,0.0046,96.3754
1784,凶,717,0.0046,96.3846
1785,邮,716,0.0046,96.3892
1786,齿,715,0.0046,96.3938
1787,尝,715,0.0046,96.3984
1788,漠,714,0.0046,96.403
1789,怨,712,0.0046,96.4076
1790,络,712,0.0046,96.4122
1791,撤,711,0.0046,96.4168
1792,撒,711,0.0046,96.4214
1793,筹,710,0.0046,96.426
1794,幽,709,0.0046,96.4306
1795,渗,709,0.0046,96.4352
1796,蛇,708,0.0046,96.4398
1797,诱,707,0.0045,96.4443
1798,抚,705,0.0045,96.4488
1799,磷,704,0.0045,96.4533
1800,逆,703,0.0045,96.4578
1801,牵,701,0.0045,96.4623
1802,诊,700,0.0045,96.4668
1803,惨,699,0.0045,96.4713
1804,抖,699,0.0045,96.4758
1805,庙,699,0.0045,96.4803
1806,株,699,0.0045,96.4848
1807,浑,696,0.0045,96.4893
1808,驶,695,0.0045,96.4938
1809,泼,695,0.0045,96.4983
1810,厌,692,0.0045,96.5073
1811,怜,692,0.0045,96.5028
1812,疲,691,0.0044,96.5117
1813,厘,690,0.0044,96.5161
1814,叙,690,0.0044,96.5205
1815,嫁,687,0.0044,96.5293
1816,跨,687,0.0044,96.5249
1817,惠,685,0.0044,96.5425
1818,哀,685,0.0044,96.5381
1819,胃,685,0.0044,96.5337
1820,蜜,683,0.0044,96.5469
1821,梯,683,0.0044,96.5513
1822,诺,681,0.0044,96.5557
1823,悠,680,0.0044,96.5601
1824,滩,680,0.0044,96.5645
1825,笼,678,0.0044,96.5689
1826,添,678,0.0044,96.5733
1827,陪,676,0.0043,96.5776
1828,挨,674,0.0043,96.5819
1829,拳,673,0.0043,96.5862
1830,晃,671,0.0043,96.5948
1831,寂,671,0.0043,96.5991
1832,倡,671,0.0043,96.6034
1833,催,671,0.0043,96.5905
1834,朴,670,0.0043,96.6077
1835,郁,666,0.0043,96.612
1836,脊,663,0.0043,96.6163
1837,扇,661,0.0043,96.6206
1838,仓,661,0.0043,96.6249
1839,魔,661,0.0043,96.6292
1840,哎,660,0.0042,96.6376
1841,蓄,660,0.0042,96.6334
1842,棵,659,0.0042,96.6418
1843,胀,658,0.0042,96.6502
1844,眠,658,0.0042,96.646
1845,劣,657,0.0042,96.6544
1846,秩,655,0.0042,96.6586
1847,塘,654,0.0042,96.6628
1848,孟,653,0.0042,96.6712
1849,媳,653,0.0042,96.667
1850,廷,652,0.0042,96.6754
1851,铃,650,0.0042,96.6796
1852,胎,650,0.0042,96.6838
1853,抹,648,0.0042,96.688
1854,吵,648,0.0042,96.6922
1855,肢,647,0.0042,96.6964
1856,拾,647,0.0042,96.7006
1857,聪,646,0.0042,96.7048
1858,寨,646,0.0042,96.709
1859,翠,645,0.0041,96.7131
1860,赫,642,0.0041,96.7172
1861,尿,641,0.0041,96.7213
1862,疼,640,0.0041,96.7254
1863,览,639,0.0041,96.7295
1864,狼,638,0.0041,96.7336
1865,轴,635,0.0041,96.7377
1866,锦,635,0.0041,96.7418
1867,夸,634,0.0041,96.7459
1868,剑,633,0.0041,96.75
1869,牺,633,0.0041,96.7541
1870,翼,633,0.0041,96.7582
1871,卧,632,0.0041,96.7623
1872,曼,629,0.004,96.7703
1873,姆,629,0.004,96.7663
1874,匠,628,0.004,96.7743
1875,熊,627,0.004,96.7823
1876,搜,627,0.004,96.7783
1877,盈,624,0.004,96.7863
1878,覆,623,0.004,96.7903
1879,唇,621,0.004,96.7943
1880,驾,620,0.004,96.7983
1881,腺,618,0.004,96.8023
1882,辅,617,0.004,96.8063
1883,枯,616,0.004,96.8103
1884,鞭,615,0.004,96.8143
1885,翅,614,0.0039,96.8182
1886,喘,614,0.0039,96.8221
1887,肝,611,0.0039,96.826
1888,掘,610,0.0039,96.8299
1889,歪,609,0.0039,96.8338
1890,欺,608,0.0039,96.8377
1891,疆,608,0.0039,96.8416
1892,赋,608,0.0039,96.8455
1893,婶,607,0.0039,96.8494
1894,畅,606,0.0039,96.8533
1895,葡,605,0.0039,96.8572
1896,脾,605,0.0039,96.8611
1897,哼,604,0.0039,96.865
1898,柜,603,0.0039,96.8689
1899,兔,602,0.0039,96.8728
1900,顽,601,0.0039,96.8767
1901,藻,600,0.0039,96.8806
1902,鸭,600,0.0039,96.8845
1903,页,599,0.0039,96.904
1904,谐,599,0.0039,96.9001
1905,侦,599,0.0039,96.8962
1906,仇,599,0.0039,96.8884
1907,睁,599,0.0039,96.8923
1908,茫,598,0.0038,96.9268
1909,拼,598,0.0038,96.9078
1910,炭,598,0.0038,96.9116
1911,锡,598,0.0038,96.9154
1912,弦,598,0.0038,96.9192
1913,滋,598,0.0038,96.923
1914,锻,596,0.0038,96.9344
1915,脆,596,0.0038,96.9306
1916,裤,594,0.0038,96.942
1917,卢,594,0.0038,96.9382
1918,萌,592,0.0038,96.9458
1919,骤,591,0.0038,96.9496
1920,悦,590,0.0038,96.9534
1921,氮,589,0.0038,96.9572
1922,葬,589,0.0038,96.961
1923,棒,588,0.0038,96.9648
1924,渠,588,0.0038,96.9686
1925,诞,588,0.0038,96.9724
1926,斑,587,0.0038,96.9762
1927,浩,586,0.0038,96.98
1928,盒,585,0.0038,96.9838
1929,遥,585,0.0038,96.9876
1930,颤,584,0.0038,96.9914
1931,扮,583,0.0037,96.9951
1932,扯,581,0.0037,97.0062
1933,颈,581,0.0037,97.0025
1934,玲,581,0.0037,96.9988
1935,丑,576,0.0037,97.0099
1936,摊,576,0.0037,97.0136
1937,桑,575,0.0037,97.0173
1938,盗,575,0.0037,97.021
1939,柏,574,0.0037,97.0321
1940,唉,574,0.0037,97.0247
1941,戒,574,0.0037,97.0284
1942,凌,573,0.0037,97.0395
1943,羽,573,0.0037,97.0358
1944,胁,572,0.0037,97.0432
1945,捷,570,0.0037,97.0469
1946,皱,570,0.0037,97.0506
1947,堡,568,0.0037,97.0543
1948,嚷,567,0.0036,97.0579
1949,挣,567,0.0036,97.0615
1950,淋,566,0.0036,97.0651
1951,陵,566,0.0036,97.0687
1952,彭,564,0.0036,97.0723
1953,茂,564,0.0036,97.0759
1954,吊,562,0.0036,97.0795
1955,愁,561,0.0036,97.0831
1956,巡,560,0.0036,97.0867
1957,寸,558,0.0036,97.0939
1958,纱,558,0.0036,97.0975
1959,惑,558,0.0036,97.0903
1960,董,557,0.0036,97.1011
1961,勾,556,0.0036,97.1047
1962,昂,555,0.0036,97.1083
1963,阐,555,0.0036,97.1119
1964,纬,554,0.0036,97.1155
1965,逢,554,0.0036,97.1191
1966,披,552,0.0036,97.1263
1967,恼,552,0.0036,97.1227
1968,佩,551,0.0035,97.1298
1969,妥,548,0.0035,97.1333
1970,萄,548,0.0035,97.1368
1971,迈,547,0.0035,97.1508
1972,坛,547,0.0035,97.1403
1973,署,547,0.0035,97.1473
1974,姨,547,0.0035,97.1543
1975,肾,547,0.0035,97.1438
1976,仲,545,0.0035,97.1578
1977,邀,544,0.0035,97.1613
1978,莱,544,0.0035,97.1648
1979,辽,544,0.0035,97.1683
1980,阀,543,0.0035,97.1718
1981,猜,541,0.0035,97.1753
1982,弥,541,0.0035,97.1788
1983,瞪,540,0.0035,97.1823
1984,韩,539,0.0035,97.1858
1985,臭,539,0.0035,97.1893
1986,脖,539,0.0035,97.1928
1987,掏,535,0.0034,97.1962
1988,妨,535,0.0034,97.1996
1989,燥,534,0.0034,97.203
1990,酷,534,0.0034,97.2064
1991,蚁,533,0.0034,97.2098
1992,鸿,532,0.0034,97.2132
1993,棚,531,0.0034,97.2166
1994,芦,531,0.0034,97.22
1995,漏,531,0.0034,97.2234
1996,凯,531,0.0034,97.2268
1997,浸,530,0.0034,97.2302
1998,舰,530,0.0034,97.2336
1999,狱,529,0.0034,97.237
2000,踪,528,0.0034,97.2404
2001,氛,528,0.0034,97.2438
2002,摘,528,0.0034,97.2472
2003,御,526,0.0034,97.2506
2004,蔡,525,0.0034,97.254
2005,扔,524,0.0034,97.2574
2006,硝,524,0.0034,97.2608
2007,裕,523,0.0034,97.2642
2008,氨,522,0.0034,97.2676
2009,竭,522,0.0034,97.271
2010,蚕,521,0.0034,97.2744
2011,疯,521,0.0034,97.2778
2012,坑,521,0.0034,97.2812
2013,愉,521,0.0034,97.2846
2014,矮,520,0.0033,97.2879
2015,嘉,520,0.0033,97.2912
2016,掠,519,0.0033,97.3011
2017,泄,519,0.0033,97.2945
2018,叉,519,0.0033,97.2978
2019,渴,517,0.0033,97.3044
2020,冶,517,0.0033,97.3077
2021,囊,515,0.0033,97.311
2022,辣,514,0.0033,97.3143
2023,菊,511,0.0033,97.3176
2024,凑,511,0.0033,97.3209
2025,歇,510,0.0033,97.3242
2026,嘻,510,0.0033,97.3275
2027,雇,509,0.0033,97.3308
2028,婴,508,0.0033,97.3374
2029,泌,508,0.0033,97.3407
2030,痕,508,0.0033,97.3341
2031,亭,506,0.0033,97.3506
2032,跌,506,0.0033,97.3473
2033,夕,506,0.0033,97.344
2034,册,505,0.0032,97.3538
2035,螺,505,0.0032,97.357
2036,贮,505,0.0032,97.3602
2037,淀,504,0.0032,97.3666
2038,贪,504,0.0032,97.3698
2039,庞,504,0.0032,97.3634
2040,铝,503,0.0032,97.373
2041,砖,503,0.0032,97.3762
2042,僚,502,0.0032,97.3794
2043,涛,502,0.0032,97.3826
2044,耶,502,0.0032,97.3858
2045,艳,502,0.0032,97.389
2046,玛,501,0.0032,97.3922
2047,拆,500,0.0032,97.3954
2048,绵,500,0.0032,97.3986
2049,遮,499,0.0032,97.4114
2050,慎,499,0.0032,97.4018
2051,贾,499,0.0032,97.405
2052,贤,499,0.0032,97.4082
2053,糟,498,0.0032,97.4178
2054,鹿,498,0.0032,97.421
2055,霸,498,0.0032,97.4146
2056,匹,497,0.0032,97.4242
2057,挡,496,0.0032,97.4338
2058,舱,496,0.0032,97.4274
2059,咳,496,0.0032,97.4306
2060,雀,495,0.0032,97.437
2061,赴,494,0.0032,97.4402
2062,蚀,493,0.0032,97.4434
2063,咽,492,0.0032,97.453
2064,饥,492,0.0032,97.4498
2065,鹰,492,0.0032,97.4466
2066,询,490,0.0032,97.4626
2067,嘿,490,0.0032,97.4562
2068,函,490,0.0032,97.4594
2069,堪,489,0.0031,97.4657
2070,嗓,488,0.0031,97.4719
2071,嫩,488,0.0031,97.475
2072,晴,488,0.0031,97.4688
2073,蹲,487,0.0031,97.4843
2074,辖,487,0.0031,97.4874
2075,豫,487,0.0031,97.4812
2076,酬,487,0.0031,97.4781
2077,剖,484,0.0031,97.4905
2078,钾,484,0.0031,97.4936
2079,尸,483,0.0031,97.4998
2080,胚,483,0.0031,97.4967
2081,悔,482,0.0031,97.5091
2082,雌,482,0.0031,97.506
2083,哦,482,0.0031,97.5029
2084,惩,481,0.0031,97.5122
2085,漆,481,0.0031,97.5153
2086,篮,480,0.0031,97.5184
2087,链,480,0.0031,97.5215
2088,筋,479,0.0031,97.5246
2089,摔,477,0.0031,97.5277
2090,遂,477,0.0031,97.5308
2091,叠,476,0.0031,97.5339
2092,霍,475,0.0031,97.537
2093,垄,475,0.0031,97.5401
2094,匪,475,0.0031,97.5432
2095,侯,475,0.0031,97.5463
2096,巾,473,0.003,97.5523
2097,贞,473,0.003,97.5493
2098,丘,472,0.003,97.5553
2099,滞,471,0.003,97.5583
2100,洒,471,0.003,97.5613
2101,纽,471,0.003,97.5643
2102,蓬,471,0.003,97.5673
2103,浙,470,0.003,97.5703
2104,潘,470,0.003,97.5733
2105,娜,469,0.003,97.5763
2106,矩,467,0.003,97.5793
2107,闯,466,0.003,97.5853
2108,盼,466,0.003,97.5823
2109,叛,465,0.003,97.5883
2110,履,464,0.003,97.5913
2111,霞,464,0.003,97.5943
2112,菲,463,0.003,97.6063
2113,瞬,463,0.003,97.6033
2114,奸,463,0.003,97.6003
2115,砍,463,0.003,97.5973
2116,敦,462,0.003,97.6093
2117,浆,462,0.003,97.6123
2118,儒,460,0.003,97.6153
2119,拓,460,0.003,97.6183
2120,僧,460,0.003,97.6213
2121,棋,460,0.003,97.6243
2122,芬,459,0.003,97.6273
2123,俺,459,0.003,97.6303
2124,慈,459,0.003,97.6333
2125,萧,458,0.0029,97.6391
2126,蛮,458,0.0029,97.6362
2127,郊,457,0.0029,97.642
2128,勉,455,0.0029,97.6507
2129,钉,455,0.0029,97.6449
2130,缠,455,0.0029,97.6478
2131,盯,453,0.0029,97.6536
2132,吾,453,0.0029,97.6565
2133,咕,453,0.0029,97.6594
2134,膨,452,0.0029,97.6623
2135,堵,451,0.0029,97.6652
2136,卜,450,0.0029,97.6681
2137,扁,450,0.0029,97.671
2138,葛,449,0.0029,97.6739
2139,哟,449,0.0029,97.6826
2140,寡,449,0.0029,97.6855
2141,鄂,449,0.0029,97.6768
2142,驰,449,0.0029,97.6797
2143,桶,448,0.0029,97.6884
2144,晒,448,0.0029,97.6913
2145,慕,447,0.0029,97.6942
2146,栏,446,0.0029,97.6971
2147,霜,446,0.0029,97.7
2148,谊,446,0.0029,97.7029
2149,哇,444,0.0029,97.7058
2150,畴,443,0.0028,97.7114
2151,隙,443,0.0028,97.7086
2152,孝,442,0.0028,97.7142
2153,押,442,0.0028,97.717
2154,竖,441,0.0028,97.7198
2155,喉,440,0.0028,97.7226
2156,欠,440,0.0028,97.7254
2157,衫,440,0.0028,97.7282
2158,吕,440,0.0028,97.731
2159,旬,440,0.0028,97.7338
2160,韵,440,0.0028,97.7366
2161,霉,439,0.0028,97.7394
2162,邪,438,0.0028,97.7478
2163,孕,438,0.0028,97.7534
2164,穆,438,0.0028,97.7506
2165,硅,438,0.0028,97.745
2166,峡,438,0.0028,97.7422
2167,湘,436,0.0028,97.7618
2168,澳,436,0.0028,97.7562
2169,羞,436,0.0028,97.759
2170,惧,435,0.0028,97.7646
2171,慨,435,0.0028,97.7674
2172,穴,433,0.0028,97.7702
2173,捞,433,0.0028,97.773
2174,辱,433,0.0028,97.7758
2175,棍,432,0.0028,97.7786
2176,撑,432,0.0028,97.7814
2177,炕,432,0.0028,97.7842
2178,窄,431,0.0028,97.787
2179,崖,431,0.0028,97.7954
2180,俱,431,0.0028,97.7982
2181,宅,431,0.0028,97.7926
2182,陕,431,0.0028,97.7898
2183,爽,430,0.0028,97.801
2184,鹅,430,0.0028,97.8038
2185,晰,430,0.0028,97.8066
2186,0,428,0.0028,97.8094
2187,巢,428,0.0028,97.8122
2188,绒,428,0.0028,97.815
2189,疫,428,0.0028,97.8178
2190,茎,427,0.0027,97.8205
2191,苹,427,0.0027,97.8232
2192,捧,426,0.0027,97.8259
2193,忌,426,0.0027,97.8286
2194,搏,426,0.0027,97.8313
2195,奈,424,0.0027,97.834
2196,躯,424,0.0027,97.8367
2197,惹,424,0.0027,97.8394
2198,焰,424,0.0027,97.8421
2199,岂,423,0.0027,97.8448
2200,甫,423,0.0027,97.8475
2201,艾,421,0.0027,97.8502
2202,拦,421,0.0027,97.8529
2203,趁,421,0.0027,97.8556
2204,缚,421,0.0027,97.8583
2205,祸,420,0.0027,97.8664
2206,橡,420,0.0027,97.861
2207,碧,420,0.0027,97.8637
2208,卑,420,0.0027,97.8691
2209,攀,419,0.0027,97.8718
2210,饼,417,0.0027,97.8745
2211,蔬,416,0.0027,97.8772
2212,譬,416,0.0027,97.8799
2213,灶,415,0.0027,97.8826
2214,赔,414,0.0027,97.8907
2215,粪,414,0.0027,97.8934
2216,颠,414,0.0027,97.888
2217,曰,414,0.0027,97.8853
2218,媒,413,0.0027,97.8961
2219,殿,412,0.0026,97.9013
2220,蛙,412,0.0026,97.8987
2221,衬,411,0.0026,97.9091
2222,钩,411,0.0026,97.9039
2223,逝,411,0.0026,97.9065
2224,哑,410,0.0026,97.9143
2225,艇,410,0.0026,97.9169
2226,罩,410,0.0026,97.9117
2227,裸,409,0.0026,97.9195
2228,岳,409,0.0026,97.9221
2229,庸,408,0.0026,97.9351
2230,嫌,408,0.0026,97.9325
2231,窃,408,0.0026,97.9299
2232,涵,408,0.0026,97.9273
2233,砂,408,0.0026,97.9247
2234,梨,407,0.0026,97.9455
2235,泊,407,0.0026,97.9429
2236,遣,407,0.0026,97.9403
2237,熔,407,0.0026,97.9377
2238,廉,406,0.0026,97.9507
2239,傲,406,0.0026,97.9481
2240,傻,405,0.0026,97.9533
2241,畏,404,0.0026,97.9559
2242,缴,403,0.0026,97.9585
2243,钙,403,0.0026,97.9611
2244,铅,402,0.0026,97.9663
2245,乔,402,0.0026,97.9637
2246,懒,401,0.0026,97.9689
2247,萍,401,0.0026,97.9715
2248,莉,400,0.0026,97.9741
2249,挽,399,0.0026,97.9767
2250,凄,399,0.0026,97.9793
2251,刮,396,0.0025,97.9818
2252,卓,396,0.0025,97.9843
2253,档,392,0.0025,97.9918
2254,妄,392,0.0025,97.9893
2255,劫,392,0.0025,97.9868
2256,阁,391,0.0025,97.9968
2257,掀,391,0.0025,97.9993
2258,哗,391,0.0025,98.0018
2259,藤,391,0.0025,97.9943
2260,吟,389,0.0025,98.0093
2261,杏,389,0.0025,98.0043
2262,颂,389,0.0025,98.0068
2263,梢,388,0.0025,98.0118
2264,罕,387,0.0025,98.0193
2265,沸,387,0.0025,98.0168
2266,滨,387,0.0025,98.0143
2267,翔,386,0.0025,98.0243
2268,汁,386,0.0025,98.0268
2269,戈,386,0.0025,98.0218
2270,愚,385,0.0025,98.0343
2271,○,385,0.0025,98.0318
2272,秧,385,0.0025,98.0293
2273,抒,384,0.0025,98.0368
2274,弊,384,0.0025,98.0393
2275,姜,384,0.0025,98.0418
2276,拘,383,0.0025,98.0518
2277,贩,383,0.0025,98.0493
2278,框,383,0.0025,98.0443
2279,屁,383,0.0025,98.0468
2280,喻,382,0.0025,98.0593
2281,嘱,382,0.0025,98.0543
2282,垫,382,0.0025,98.0568
2283,迪,381,0.0025,98.0618
2284,契,380,0.0024,98.0642
2285,弗,379,0.0024,98.069
2286,瑶,379,0.0024,98.0714
2287,赌,379,0.0024,98.0666
2288,堤,379,0.0024,98.0738
2289,哄,378,0.0024,98.0762
2290,旨,377,0.0024,98.0834
2291,晕,377,0.0024,98.081
2292,凳,377,0.0024,98.0786
2293,址,376,0.0024,98.0858
2294,彪,376,0.0024,98.0882
2295,踢,375,0.0024,98.093
2296,俊,375,0.0024,98.0954
2297,韦,375,0.0024,98.0978
2298,贼,375,0.0024,98.0906
2299,稚,374,0.0024,98.1026
2300,蝶,374,0.0024,98.105
2301,账,374,0.0024,98.1002
2302,凹,373,0.0024,98.1074
2303,帕,373,0.0024,98.1098
2304,携,371,0.0024,98.1122
2305,茅,370,0.0024,98.1146
2306,枢,369,0.0024,98.1242
2307,溃,369,0.0024,98.1218
2308,哨,369,0.0024,98.117
2309,枚,369,0.0024,98.1194
2310,驳,368,0.0024,98.129
2311,歧,368,0.0024,98.1266
2312,抄,367,0.0024,98.1314
2313,弓,367,0.0024,98.1338
2314,稼,366,0.0024,98.1362
2315,颁,366,0.0024,98.1386
2316,徽,366,0.0024,98.141
2317,杠,365,0.0023,98.1433
2318,泳,364,0.0023,98.1456
2319,蜡,364,0.0023,98.1479
2320,吻,363,0.0023,98.1502
2321,沾,363,0.0023,98.1525
2322,绣,363,0.0023,98.1548
2323,叮,362,0.0023,98.1594
2324,谨,362,0.0023,98.1617
2325,厨,362,0.0023,98.1571
2326,拐,361,0.0023,98.164
2327,宴,360,0.0023,98.1663
2328,鸦,360,0.0023,98.1686
2329,衷,360,0.0023,98.1709
2330,戚,360,0.0023,98.1732
2331,粹,358,0.0023,98.1755
2332,碑,358,0.0023,98.1778
2333,煮,357,0.0023,98.1801
2334,蕾,356,0.0023,98.1824
2335,淑,356,0.0023,98.1847
2336,逸,355,0.0023,98.187
2337,翁,355,0.0023,98.1893
2338,倘,354,0.0023,98.1916
2339,恳,354,0.0023,98.1939
2340,逊,353,0.0023,98.1962
2341,趟,353,0.0023,98.1985
2342,讼,351,0.0023,98.2008
2343,衍,351,0.0023,98.2031
2344,蔽,351,0.0023,98.2054
2345,胳,350,0.0023,98.21
2346,罐,350,0.0023,98.2077
2347,裙,349,0.0022,98.2122
2348,龟,349,0.0022,98.2144
2349,奠,349,0.0022,98.2166
2350,颌,348,0.0022,98.2188
2351,驴,348,0.0022,98.221
2352,撕,347,0.0022,98.2232
2353,蒂,346,0.0022,98.232
2354,姚,346,0.0022,98.2298
2355,滥,346,0.0022,98.2254
2356,恭,346,0.0022,98.2276
2357,耻,345,0.0022,98.2386
2358,蕴,345,0.0022,98.2342
2359,骄,345,0.0022,98.2364
2360,煌,344,0.0022,98.2408
2361,冤,343,0.0022,98.243
2362,瞎,343,0.0022,98.2452
2363,娇,343,0.0022,98.2474
2364,杭,343,0.0022,98.2496
2365,倦,342,0.0022,98.254
2366,愧,342,0.0022,98.2518
2367,淮,341,0.0022,98.2562
